	recG_13	recG_15	recG_16
SRR2034334.102510-1/2	0.0	0.0	0.0
SRR2034334.102510-2/2	1.0	0.0	0.0
SRR2034334.103093-1/2	0.0	0.0	0.0
SRR2034334.103093-2/2	2.0	1.0	1.0
SRR2034334.106257-1/2	-1.0	1.0	0.0
SRR2034334.106257-2/2	-1.0	0.0	0.0
SRR2034334.108426-1/2	0.0	0.0	0.0
SRR2034334.108426-2/2	0.0	0.0	0.0
SRR2034334.115047-1/2	0.0	0.0	0.0
SRR2034334.115047-2/2	1.0	0.0	0.0
SRR2034334.119125-1/2	1.0	1.0	1.0
SRR2034334.119125-2/2	0.0	0.0	0.0
SRR2034334.122601-1/2	1.0	0.0	0.0
SRR2034334.122601-2/2	1.0	0.0	0.0
SRR2034334.124451-1/2	1.0	0.0	0.0
SRR2034334.124451-2/2	0.0	0.0	0.0
SRR2034334.124661-1/2	1.0	0.0	0.0
SRR2034334.124661-2/2	1.0	0.0	0.0
SRR2034334.126563-1/2	-1.0	0.0	0.0
SRR2034334.126563-2/2	-1.0	0.0	1.0
SRR2034334.136457-1/2	0.0	0.0	0.0
SRR2034334.136457-2/2	1.0	0.0	0.0
SRR2034334.1384-1/2	1.0	0.0	0.0
SRR2034334.1384-2/2	0.0	0.0	0.0
SRR2034334.140507-1/2	0.0	0.0	0.0
SRR2034334.140507-2/2	1.0	0.0	0.0
SRR2034334.144168-1/2	-1.0	0.0	1.0
SRR2034334.144168-2/2	-1.0	0.0	0.0
SRR2034334.145010-1/2	0.0	0.0	0.0
SRR2034334.145010-2/2	0.0	0.0	0.0
SRR2034334.145619-1/2	0.0	0.0	0.0
SRR2034334.145619-2/2	0.0	0.0	0.0
SRR2034334.147160-1/2	1.0	0.0	0.0
SRR2034334.147160-2/2	1.0	0.0	0.0
SRR2034334.149212-1/2	1.0	0.0	1.0
SRR2034334.149212-2/2	1.0	0.0	0.0
SRR2034334.150106-1/2	0.0	0.0	0.0
SRR2034334.150106-2/2	0.0	0.0	0.0
SRR2034334.151998-1/2	1.0	0.0	0.0
SRR2034334.151998-2/2	1.0	0.0	0.0
SRR2034334.153349-1/2	1.0	0.0	0.0
SRR2034334.153349-2/2	0.0	0.0	0.0
SRR2034334.154403-1/2	1.0	0.0	0.0
SRR2034334.154403-2/2	1.0	1.0	1.0
SRR2034334.162661-1/2	-1.0	0.0	1.0
SRR2034334.162661-2/2	-1.0	0.0	0.0
SRR2034334.164201-1/2	1.0	0.0	0.0
SRR2034334.164201-2/2	1.0	0.0	0.0
SRR2034334.164258-1/2	-1.0	0.0	1.0
SRR2034334.164258-2/2	-1.0	0.0	0.0
SRR2034334.165141-1/2	0.0	0.0	1.0
SRR2034334.165141-2/2	1.0	0.0	0.0
SRR2034334.165938-1/2	-1.0	1.0	0.0
SRR2034334.165938-2/2	-1.0	0.0	0.0
SRR2034334.17255-1/2	-1.0	0.0	1.0
SRR2034334.17255-2/2	-1.0	0.0	0.0
SRR2034334.173110-1/2	1.0	0.0	0.0
SRR2034334.173110-2/2	0.0	0.0	0.0
SRR2034334.176554-1/2	1.0	0.0	0.0
SRR2034334.176554-2/2	1.0	0.0	0.0
SRR2034334.176999-1/2	-1.0	1.0	0.0
SRR2034334.176999-2/2	-1.0	0.0	0.0
SRR2034334.178919-1/2	0.0	0.0	0.0
SRR2034334.178919-2/2	0.0	0.0	0.0
SRR2034334.193221-1/2	0.0	0.0	0.0
SRR2034334.193221-2/2	1.0	0.0	0.0
SRR2034334.198725-1/2	2.0	0.0	1.0
SRR2034334.198725-2/2	1.0	0.0	0.0
SRR2034334.203644-1/2	1.0	0.0	0.0
SRR2034334.203644-2/2	2.0	1.0	0.0
SRR2034334.207469-1/2	0.0	0.0	0.0
SRR2034334.207469-2/2	1.0	0.0	0.0
SRR2034334.211885-1/2	1.0	0.0	0.0
SRR2034334.211885-2/2	0.0	0.0	0.0
SRR2034334.213824-1/2	0.0	0.0	0.0
SRR2034334.213824-2/2	2.0	0.0	1.0
SRR2034334.214267-1/2	0.0	0.0	0.0
SRR2034334.214267-2/2	0.0	0.0	0.0
SRR2034334.215393-1/2	-1.0	0.0	1.0
SRR2034334.215393-2/2	-1.0	0.0	0.0
SRR2034334.225020-1/2	0.0	0.0	0.0
SRR2034334.225020-2/2	0.0	0.0	0.0
SRR2034334.225134-1/2	0.0	0.0	0.0
SRR2034334.225134-2/2	0.0	0.0	0.0
SRR2034334.227362-1/2	0.0	0.0	0.0
SRR2034334.227362-2/2	1.0	0.0	0.0
SRR2034334.22744-1/2	0.0	0.0	0.0
SRR2034334.22744-2/2	1.0	0.0	0.0
SRR2034334.22881-1/2	0.0	0.0	0.0
SRR2034334.22881-2/2	1.0	0.0	1.0
SRR2034334.231124-1/2	0.0	0.0	0.0
SRR2034334.231124-2/2	1.0	0.0	0.0
SRR2034334.233869-1/2	-1.0	0.0	0.0
SRR2034334.233869-2/2	-1.0	1.0	0.0
SRR2034334.235988-1/2	-1.0	0.0	1.0
SRR2034334.235988-2/2	-1.0	0.0	0.0
SRR2034334.238542-1/2	-1.0	0.0	0.0
SRR2034334.238542-2/2	-1.0	1.0	0.0
SRR2034334.240386-1/2	-1.0	0.0	0.0
SRR2034334.240386-2/2	-1.0	0.0	0.0
SRR2034334.241726-1/2	0.0	0.0	0.0
SRR2034334.241726-2/2	1.0	0.0	0.0
SRR2034334.24686-1/2	1.0	0.0	0.0
SRR2034334.24686-2/2	0.0	0.0	0.0
SRR2034334.247617-1/2	1.0	0.0	0.0
SRR2034334.247617-2/2	0.0	0.0	0.0
SRR2034334.247817-1/2	-1.0	0.0	1.0
SRR2034334.247817-2/2	-1.0	0.0	0.0
SRR2034334.247982-1/2	0.0	0.0	0.0
SRR2034334.247982-2/2	0.0	0.0	0.0
SRR2034334.249503-1/2	1.0	0.0	0.0
SRR2034334.249503-2/2	0.0	0.0	0.0
SRR2034334.251692-1/2	-1.0	1.0	0.0
SRR2034334.251692-2/2	-1.0	0.0	0.0
SRR2034334.255132-1/2	2.0	1.0	0.0
SRR2034334.255132-2/2	1.0	0.0	0.0
SRR2034334.258978-1/2	1.0	1.0	1.0
SRR2034334.258978-2/2	1.0	0.0	0.0
SRR2034334.259331-1/2	1.0	0.0	0.0
SRR2034334.259331-2/2	1.0	0.0	0.0
SRR2034334.261419-1/2	-1.0	1.0	0.0
SRR2034334.261419-2/2	-1.0	0.0	0.0
SRR2034334.265123-1/2	-1.0	1.0	0.0
SRR2034334.265123-2/2	-1.0	0.0	0.0
SRR2034334.269091-1/2	-1.0	1.0	0.0
SRR2034334.269091-2/2	-1.0	0.0	0.0
SRR2034334.272509-1/2	1.0	0.0	0.0
SRR2034334.272509-2/2	0.0	0.0	0.0
SRR2034334.273393-1/2	0.0	0.0	0.0
SRR2034334.273393-2/2	1.0	0.0	1.0
SRR2034334.273596-1/2	1.0	0.0	0.0
SRR2034334.273596-2/2	1.0	0.0	0.0
SRR2034334.277969-1/2	-1.0	0.0	1.0
SRR2034334.277969-2/2	-1.0	0.0	0.0
SRR2034334.279202-1/2	1.0	0.0	0.0
SRR2034334.279202-2/2	1.0	0.0	0.0
SRR2034334.279379-1/2	-1.0	1.0	0.0
SRR2034334.279379-2/2	-1.0	0.0	0.0
SRR2034334.286315-1/2	1.0	1.0	0.0
SRR2034334.286315-2/2	0.0	0.0	0.0
SRR2034334.294712-1/2	1.0	0.0	0.0
SRR2034334.294712-2/2	0.0	0.0	0.0
SRR2034334.295035-1/2	-1.0	0.0	0.0
SRR2034334.295035-2/2	-1.0	0.0	1.0
SRR2034334.295562-1/2	0.0	0.0	0.0
SRR2034334.295562-2/2	0.0	0.0	0.0
SRR2034334.296222-1/2	-1.0	0.0	1.0
SRR2034334.296222-2/2	-1.0	1.0	0.0
SRR2034334.299270-1/2	0.0	0.0	0.0
SRR2034334.299270-2/2	0.0	0.0	0.0
SRR2034334.299301-1/2	2.0	0.0	1.0
SRR2034334.299301-2/2	1.0	0.0	1.0
SRR2034334.303684-1/2	1.0	0.0	0.0
SRR2034334.303684-2/2	0.0	0.0	0.0
SRR2034334.305204-1/2	-1.0	1.0	0.0
SRR2034334.305204-2/2	-1.0	0.0	0.0
SRR2034334.308182-1/2	1.0	0.0	0.0
SRR2034334.308182-2/2	1.0	0.0	0.0
SRR2034334.313175-1/2	-1.0	0.0	0.0
SRR2034334.313175-2/2	-1.0	0.0	1.0
SRR2034334.314339-1/2	0.0	0.0	0.0
SRR2034334.314339-2/2	0.0	0.0	0.0
SRR2034334.315263-1/2	-1.0	0.0	1.0
SRR2034334.315263-2/2	-1.0	0.0	0.0
SRR2034334.31563-1/2	1.0	0.0	0.0
SRR2034334.31563-2/2	0.0	0.0	0.0
SRR2034334.32103-1/2	-1.0	0.0	1.0
SRR2034334.32103-2/2	-1.0	0.0	0.0
SRR2034334.32220-1/2	-1.0	0.0	0.0
SRR2034334.32220-2/2	-1.0	1.0	0.0
SRR2034334.325997-1/2	0.0	0.0	0.0
SRR2034334.325997-2/2	1.0	0.0	0.0
SRR2034334.329296-1/2	0.0	0.0	0.0
SRR2034334.329296-2/2	1.0	0.0	0.0
SRR2034334.335079-1/2	0.0	0.0	0.0
SRR2034334.335079-2/2	0.0	0.0	0.0
SRR2034334.336958-1/2	2.0	0.0	1.0
SRR2034334.336958-2/2	0.0	0.0	0.0
SRR2034334.341896-1/2	1.0	0.0	0.0
SRR2034334.341896-2/2	2.0	0.0	1.0
SRR2034334.342857-1/2	-1.0	1.0	1.0
SRR2034334.342857-2/2	-1.0	2.0	2.0
SRR2034334.3468-1/2	0.0	0.0	0.0
SRR2034334.3468-2/2	0.0	0.0	0.0
SRR2034334.347639-1/2	0.0	0.0	0.0
SRR2034334.347639-2/2	0.0	0.0	0.0
SRR2034334.352775-1/2	0.0	0.0	0.0
SRR2034334.352775-2/2	0.0	0.0	0.0
SRR2034334.353635-1/2	0.0	0.0	0.0
SRR2034334.353635-2/2	1.0	0.0	0.0
SRR2034334.355235-1/2	1.0	0.0	0.0
SRR2034334.355235-2/2	0.0	0.0	0.0
SRR2034334.35681-1/2	1.0	0.0	0.0
SRR2034334.35681-2/2	0.0	0.0	0.0
SRR2034334.359284-1/2	-1.0	0.0	0.0
SRR2034334.359284-2/2	-1.0	1.0	0.0
SRR2034334.362187-1/2	-1.0	0.0	0.0
SRR2034334.362187-2/2	-1.0	0.0	1.0
SRR2034334.362375-1/2	1.0	0.0	0.0
SRR2034334.362375-2/2	0.0	0.0	0.0
SRR2034334.364513-1/2	1.0	0.0	0.0
SRR2034334.364513-2/2	0.0	0.0	0.0
SRR2034334.365120-1/2	0.0	0.0	0.0
SRR2034334.365120-2/2	1.0	0.0	0.0
SRR2034334.369661-1/2	2.0	0.0	0.0
SRR2034334.369661-2/2	0.0	0.0	0.0
SRR2034334.371131-1/2	-1.0	0.0	1.0
SRR2034334.371131-2/2	-1.0	0.0	0.0
SRR2034334.37573-1/2	-1.0	1.0	0.0
SRR2034334.37573-2/2	-1.0	0.0	0.0
SRR2034334.37840-1/2	2.0	1.0	1.0
SRR2034334.37840-2/2	0.0	0.0	0.0
SRR2034334.379117-1/2	0.0	0.0	1.0
SRR2034334.379117-2/2	1.0	0.0	0.0
SRR2034334.3815-1/2	0.0	0.0	0.0
SRR2034334.3815-2/2	1.0	0.0	1.0
SRR2034334.38428-1/2	0.0	0.0	0.0
SRR2034334.38428-2/2	0.0	0.0	0.0
SRR2034334.385447-1/2	0.0	0.0	0.0
SRR2034334.385447-2/2	0.0	0.0	0.0
SRR2034334.385852-1/2	-1.0	1.0	0.0
SRR2034334.385852-2/2	-1.0	1.0	0.0
SRR2034334.387813-1/2	2.0	1.0	0.0
SRR2034334.387813-2/2	1.0	1.0	1.0
SRR2034334.389575-1/2	1.0	0.0	0.0
SRR2034334.389575-2/2	1.0	0.0	0.0
SRR2034334.392625-1/2	-1.0	1.0	0.0
SRR2034334.392625-2/2	-1.0	0.0	0.0
SRR2034334.395106-1/2	0.0	0.0	0.0
SRR2034334.395106-2/2	0.0	0.0	0.0
SRR2034334.396550-1/2	0.0	0.0	1.0
SRR2034334.396550-2/2	1.0	0.0	0.0
SRR2034334.399027-1/2	2.0	0.0	1.0
SRR2034334.399027-2/2	0.0	0.0	0.0
SRR2034334.40212-1/2	2.0	1.0	1.0
SRR2034334.40212-2/2	1.0	0.0	1.0
SRR2034334.404275-1/2	0.0	0.0	0.0
SRR2034334.404275-2/2	0.0	0.0	0.0
SRR2034334.405643-1/2	0.0	0.0	0.0
SRR2034334.405643-2/2	1.0	0.0	0.0
SRR2034334.407666-1/2	1.0	0.0	0.0
SRR2034334.407666-2/2	0.0	0.0	0.0
SRR2034334.409455-1/2	1.0	1.0	0.0
SRR2034334.409455-2/2	0.0	0.0	0.0
SRR2034334.413417-1/2	-1.0	0.0	0.0
SRR2034334.413417-2/2	-1.0	0.0	1.0
SRR2034334.414626-1/2	1.0	0.0	0.0
SRR2034334.414626-2/2	1.0	0.0	0.0
SRR2034334.415582-1/2	-1.0	1.0	0.0
SRR2034334.415582-2/2	-1.0	1.0	0.0
SRR2034334.419745-1/2	-1.0	1.0	0.0
SRR2034334.419745-2/2	-1.0	0.0	0.0
SRR2034334.421960-1/2	0.0	0.0	1.0
SRR2034334.421960-2/2	1.0	0.0	0.0
SRR2034334.421988-1/2	0.0	0.0	0.0
SRR2034334.421988-2/2	0.0	0.0	0.0
SRR2034334.422284-1/2	1.0	0.0	0.0
SRR2034334.422284-2/2	2.0	0.0	1.0
SRR2034334.427536-1/2	-1.0	1.0	0.0
SRR2034334.427536-2/2	-1.0	1.0	0.0
SRR2034334.427624-1/2	0.0	0.0	0.0
SRR2034334.427624-2/2	0.0	0.0	0.0
SRR2034334.427645-1/2	-1.0	0.0	1.0
SRR2034334.427645-2/2	-1.0	0.0	0.0
SRR2034334.431278-1/2	0.0	0.0	0.0
SRR2034334.431278-2/2	0.0	0.0	0.0
SRR2034334.432171-1/2	1.0	1.0	0.0
SRR2034334.432171-2/2	1.0	0.0	0.0
SRR2034334.432927-1/2	-1.0	0.0	1.0
SRR2034334.432927-2/2	-1.0	0.0	0.0
SRR2034334.434935-1/2	2.0	0.0	1.0
SRR2034334.434935-2/2	0.0	0.0	0.0
SRR2034334.435683-1/2	1.0	0.0	0.0
SRR2034334.435683-2/2	1.0	0.0	0.0
SRR2034334.436637-1/2	0.0	0.0	0.0
SRR2034334.436637-2/2	0.0	0.0	0.0
SRR2034334.436889-1/2	0.0	0.0	0.0
SRR2034334.436889-2/2	0.0	0.0	0.0
SRR2034334.442840-1/2	1.0	0.0	0.0
SRR2034334.442840-2/2	1.0	0.0	0.0
SRR2034334.447120-1/2	1.0	0.0	0.0
SRR2034334.447120-2/2	0.0	0.0	0.0
SRR2034334.448830-1/2	-1.0	0.0	1.0
SRR2034334.448830-2/2	-1.0	1.0	0.0
SRR2034334.449070-1/2	1.0	0.0	0.0
SRR2034334.449070-2/2	0.0	0.0	0.0
SRR2034334.451292-1/2	2.0	0.0	1.0
SRR2034334.451292-2/2	1.0	0.0	0.0
SRR2034334.454729-1/2	-1.0	1.0	0.0
SRR2034334.454729-2/2	-1.0	0.0	0.0
SRR2034334.455676-1/2	0.0	0.0	0.0
SRR2034334.455676-2/2	1.0	0.0	1.0
SRR2034334.457994-1/2	1.0	0.0	0.0
SRR2034334.457994-2/2	2.0	1.0	1.0
SRR2034334.458987-1/2	-1.0	1.0	0.0
SRR2034334.458987-2/2	-1.0	0.0	0.0
SRR2034334.461310-1/2	1.0	0.0	0.0
SRR2034334.461310-2/2	1.0	0.0	0.0
SRR2034334.465005-1/2	-1.0	0.0	0.0
SRR2034334.465005-2/2	-1.0	1.0	0.0
SRR2034334.472065-1/2	1.0	0.0	0.0
SRR2034334.472065-2/2	0.0	0.0	0.0
SRR2034334.477900-1/2	-1.0	0.0	1.0
SRR2034334.477900-2/2	-1.0	0.0	1.0
SRR2034334.478605-1/2	1.0	0.0	0.0
SRR2034334.478605-2/2	1.0	0.0	0.0
SRR2034334.478844-1/2	2.0	0.0	1.0
SRR2034334.478844-2/2	1.0	0.0	1.0
SRR2034334.479146-1/2	1.0	1.0	1.0
SRR2034334.479146-2/2	0.0	0.0	0.0
SRR2034334.481815-1/2	0.0	0.0	0.0
SRR2034334.481815-2/2	1.0	0.0	0.0
SRR2034334.487880-1/2	1.0	0.0	0.0
SRR2034334.487880-2/2	0.0	0.0	0.0
SRR2034334.488501-1/2	-1.0	0.0	1.0
SRR2034334.488501-2/2	-1.0	0.0	0.0
SRR2034334.48913-1/2	-1.0	1.0	0.0
SRR2034334.48913-2/2	-1.0	0.0	0.0
SRR2034334.492356-1/2	1.0	0.0	1.0
SRR2034334.492356-2/2	2.0	1.0	0.0
