	nifS_8	nifS_9
SRR2034335.103389-1/2	0.0	0.0
SRR2034335.103389-2/2	0.0	0.0
SRR2034335.114720-1/2	1.0	0.0
SRR2034335.114720-2/2	1.0	0.0
SRR2034335.125117-1/2	0.0	0.0
SRR2034335.125117-2/2	1.0	0.0
SRR2034335.130075-1/2	0.0	0.0
SRR2034335.130075-2/2	0.0	0.0
SRR2034335.130183-1/2	0.0	0.0
SRR2034335.130183-2/2	0.0	0.0
SRR2034335.138750-1/2	0.0	0.0
SRR2034335.138750-2/2	1.0	0.0
SRR2034335.141181-1/2	0.0	0.0
SRR2034335.141181-2/2	1.0	0.0
SRR2034335.141616-1/2	0.0	0.0
SRR2034335.141616-2/2	0.0	0.0
SRR2034335.143807-1/2	1.0	0.0
SRR2034335.143807-2/2	1.0	0.0
SRR2034335.1488-1/2	1.0	0.0
SRR2034335.1488-2/2	2.0	1.0
SRR2034335.160708-1/2	0.0	0.0
SRR2034335.160708-2/2	1.0	0.0
SRR2034335.162048-1/2	0.0	0.0
SRR2034335.162048-2/2	0.0	0.0
SRR2034335.166054-1/2	0.0	0.0
SRR2034335.166054-2/2	1.0	1.0
SRR2034335.16641-1/2	0.0	1.0
SRR2034335.16641-2/2	0.0	0.0
SRR2034335.168875-1/2	1.0	1.0
SRR2034335.168875-2/2	2.0	0.0
SRR2034335.175570-1/2	0.0	0.0
SRR2034335.175570-2/2	0.0	0.0
SRR2034335.189224-1/2	0.0	0.0
SRR2034335.189224-2/2	1.0	0.0
SRR2034335.18954-1/2	0.0	0.0
SRR2034335.18954-2/2	0.0	0.0
SRR2034335.195379-1/2	0.0	0.0
SRR2034335.195379-2/2	2.0	0.0
SRR2034335.201141-1/2	1.0	0.0
SRR2034335.201141-2/2	1.0	0.0
SRR2034335.218991-1/2	0.0	0.0
SRR2034335.218991-2/2	0.0	0.0
SRR2034335.222920-1/2	0.0	0.0
SRR2034335.222920-2/2	1.0	0.0
SRR2034335.224417-1/2	0.0	0.0
SRR2034335.224417-2/2	1.0	0.0
SRR2034335.228841-1/2	1.0	1.0
SRR2034335.228841-2/2	2.0	0.0
SRR2034335.231007-1/2	0.0	0.0
SRR2034335.231007-2/2	0.0	0.0
SRR2034335.23105-1/2	0.0	0.0
SRR2034335.23105-2/2	1.0	0.0
SRR2034335.236345-1/2	1.0	0.0
SRR2034335.236345-2/2	1.0	0.0
SRR2034335.239032-1/2	0.0	1.0
SRR2034335.239032-2/2	0.0	0.0
SRR2034335.242597-1/2	0.0	0.0
SRR2034335.242597-2/2	0.0	0.0
SRR2034335.24757-1/2	1.0	0.0
SRR2034335.24757-2/2	1.0	0.0
SRR2034335.258868-1/2	0.0	0.0
SRR2034335.258868-2/2	1.0	0.0
SRR2034335.260414-1/2	0.0	0.0
SRR2034335.260414-2/2	0.0	0.0
SRR2034335.265192-1/2	0.0	0.0
SRR2034335.265192-2/2	0.0	0.0
SRR2034335.272670-1/2	1.0	0.0
SRR2034335.272670-2/2	1.0	0.0
SRR2034335.275508-1/2	1.0	0.0
SRR2034335.275508-2/2	1.0	0.0
SRR2034335.279401-1/2	1.0	0.0
SRR2034335.279401-2/2	1.0	0.0
SRR2034335.281242-1/2	0.0	0.0
SRR2034335.281242-2/2	1.0	0.0
SRR2034335.284853-1/2	0.0	0.0
SRR2034335.284853-2/2	0.0	0.0
SRR2034335.288086-1/2	0.0	0.0
SRR2034335.288086-2/2	1.0	0.0
SRR2034335.290295-1/2	1.0	0.0
SRR2034335.290295-2/2	1.0	0.0
SRR2034335.29549-1/2	0.0	0.0
SRR2034335.29549-2/2	1.0	0.0
SRR2034335.297848-1/2	0.0	0.0
SRR2034335.297848-2/2	1.0	0.0
SRR2034335.316421-1/2	1.0	0.0
SRR2034335.316421-2/2	1.0	0.0
SRR2034335.333260-1/2	2.0	0.0
SRR2034335.333260-2/2	0.0	0.0
SRR2034335.345005-1/2	0.0	0.0
SRR2034335.345005-2/2	1.0	0.0
SRR2034335.3465-1/2	0.0	0.0
SRR2034335.3465-2/2	1.0	0.0
SRR2034335.34974-1/2	0.0	0.0
SRR2034335.34974-2/2	1.0	0.0
SRR2034335.354269-1/2	1.0	0.0
SRR2034335.354269-2/2	0.0	0.0
SRR2034335.355856-1/2	0.0	0.0
SRR2034335.355856-2/2	0.0	0.0
SRR2034335.357228-1/2	0.0	0.0
SRR2034335.357228-2/2	0.0	0.0
SRR2034335.359631-1/2	0.0	0.0
SRR2034335.359631-2/2	0.0	0.0
SRR2034335.360400-1/2	0.0	0.0
SRR2034335.360400-2/2	1.0	0.0
SRR2034335.367986-1/2	2.0	0.0
SRR2034335.367986-2/2	1.0	0.0
SRR2034335.377164-1/2	0.0	0.0
SRR2034335.377164-2/2	0.0	0.0
SRR2034335.383369-1/2	0.0	0.0
SRR2034335.383369-2/2	1.0	0.0
SRR2034335.388841-1/2	1.0	0.0
SRR2034335.388841-2/2	1.0	0.0
SRR2034335.396757-1/2	0.0	0.0
SRR2034335.396757-2/2	2.0	0.0
SRR2034335.397934-1/2	0.0	0.0
SRR2034335.397934-2/2	0.0	0.0
SRR2034335.397990-1/2	0.0	0.0
SRR2034335.397990-2/2	1.0	0.0
SRR2034335.408346-1/2	1.0	0.0
SRR2034335.408346-2/2	0.0	0.0
SRR2034335.410260-1/2	0.0	0.0
SRR2034335.410260-2/2	0.0	0.0
SRR2034335.412460-1/2	0.0	0.0
SRR2034335.412460-2/2	0.0	0.0
SRR2034335.414576-1/2	0.0	0.0
SRR2034335.414576-2/2	0.0	0.0
SRR2034335.416865-1/2	1.0	0.0
SRR2034335.416865-2/2	1.0	0.0
SRR2034335.42174-1/2	1.0	0.0
SRR2034335.42174-2/2	1.0	0.0
SRR2034335.431039-1/2	0.0	0.0
SRR2034335.431039-2/2	1.0	0.0
SRR2034335.43229-1/2	0.0	0.0
SRR2034335.43229-2/2	0.0	0.0
SRR2034335.432961-1/2	0.0	0.0
SRR2034335.432961-2/2	1.0	0.0
SRR2034335.439746-1/2	1.0	0.0
SRR2034335.439746-2/2	1.0	0.0
SRR2034335.446951-1/2	2.0	2.0
SRR2034335.446951-2/2	2.0	0.0
SRR2034335.449656-1/2	1.0	0.0
SRR2034335.449656-2/2	1.0	0.0
SRR2034335.453309-1/2	2.0	0.0
SRR2034335.453309-2/2	1.0	0.0
SRR2034335.461133-1/2	1.0	0.0
SRR2034335.461133-2/2	0.0	0.0
SRR2034335.461921-1/2	0.0	1.0
SRR2034335.461921-2/2	0.0	0.0
SRR2034335.463081-1/2	0.0	0.0
SRR2034335.463081-2/2	1.0	0.0
SRR2034335.469759-1/2	0.0	0.0
SRR2034335.469759-2/2	0.0	0.0
SRR2034335.477014-1/2	0.0	0.0
SRR2034335.477014-2/2	1.0	0.0
SRR2034335.477776-1/2	0.0	0.0
SRR2034335.477776-2/2	2.0	0.0
SRR2034335.477968-1/2	1.0	0.0
SRR2034335.477968-2/2	0.0	0.0
SRR2034335.479432-1/2	0.0	0.0
SRR2034335.479432-2/2	0.0	0.0
SRR2034335.500817-1/2	0.0	0.0
SRR2034335.500817-2/2	2.0	0.0
SRR2034335.518795-1/2	0.0	0.0
SRR2034335.518795-2/2	1.0	0.0
SRR2034335.52027-1/2	1.0	0.0
SRR2034335.52027-2/2	1.0	0.0
SRR2034335.531494-1/2	0.0	0.0
SRR2034335.531494-2/2	1.0	0.0
SRR2034335.53299-1/2	1.0	0.0
SRR2034335.53299-2/2	0.0	0.0
SRR2034335.54650-1/2	0.0	0.0
SRR2034335.54650-2/2	0.0	0.0
SRR2034335.555672-1/2	0.0	0.0
SRR2034335.555672-2/2	2.0	0.0
SRR2034335.560890-1/2	0.0	0.0
SRR2034335.560890-2/2	0.0	0.0
SRR2034335.56423-1/2	0.0	0.0
SRR2034335.56423-2/2	1.0	0.0
SRR2034335.56794-1/2	1.0	0.0
SRR2034335.56794-2/2	0.0	0.0
SRR2034335.572927-1/2	0.0	0.0
SRR2034335.572927-2/2	0.0	0.0
SRR2034335.600092-1/2	0.0	0.0
SRR2034335.600092-2/2	0.0	0.0
SRR2034335.602195-1/2	0.0	0.0
SRR2034335.602195-2/2	0.0	0.0
SRR2034335.602226-1/2	0.0	0.0
SRR2034335.602226-2/2	0.0	0.0
SRR2034335.606307-1/2	0.0	0.0
SRR2034335.606307-2/2	2.0	0.0
SRR2034335.610312-1/2	0.0	0.0
SRR2034335.610312-2/2	0.0	0.0
SRR2034335.611329-1/2	0.0	0.0
SRR2034335.611329-2/2	2.0	0.0
SRR2034335.616641-1/2	1.0	0.0
SRR2034335.616641-2/2	1.0	0.0
SRR2034335.6262-1/2	1.0	0.0
SRR2034335.6262-2/2	1.0	0.0
SRR2034335.627906-1/2	0.0	0.0
SRR2034335.627906-2/2	0.0	0.0
SRR2034335.628151-1/2	0.0	1.0
SRR2034335.628151-2/2	0.0	1.0
SRR2034335.652560-1/2	1.0	0.0
SRR2034335.652560-2/2	2.0	0.0
SRR2034335.655201-1/2	1.0	0.0
SRR2034335.655201-2/2	1.0	0.0
SRR2034335.656322-1/2	0.0	0.0
SRR2034335.656322-2/2	1.0	0.0
SRR2034335.664093-1/2	0.0	0.0
SRR2034335.664093-2/2	2.0	0.0
SRR2034335.665494-1/2	0.0	0.0
SRR2034335.665494-2/2	0.0	0.0
SRR2034335.670669-1/2	1.0	1.0
SRR2034335.670669-2/2	1.0	0.0
SRR2034335.677836-1/2	1.0	0.0
SRR2034335.677836-2/2	0.0	0.0
SRR2034335.680081-1/2	0.0	0.0
SRR2034335.680081-2/2	0.0	0.0
SRR2034335.680251-1/2	0.0	0.0
SRR2034335.680251-2/2	1.0	0.0
SRR2034335.688508-1/2	1.0	1.0
SRR2034335.688508-2/2	2.0	0.0
SRR2034335.691658-1/2	0.0	0.0
SRR2034335.691658-2/2	1.0	0.0
SRR2034335.695551-1/2	0.0	0.0
SRR2034335.695551-2/2	1.0	0.0
SRR2034335.696377-1/2	0.0	0.0
SRR2034335.696377-2/2	1.0	0.0
SRR2034335.700258-1/2	0.0	0.0
SRR2034335.700258-2/2	1.0	0.0
SRR2034335.701294-1/2	1.0	0.0
SRR2034335.701294-2/2	0.0	0.0
SRR2034335.701879-1/2	0.0	0.0
SRR2034335.701879-2/2	0.0	0.0
SRR2034335.708020-1/2	0.0	0.0
SRR2034335.708020-2/2	0.0	0.0
SRR2034335.71015-1/2	0.0	0.0
SRR2034335.71015-2/2	1.0	0.0
SRR2034335.715340-1/2	1.0	0.0
SRR2034335.715340-2/2	0.0	0.0
SRR2034335.715720-1/2	0.0	0.0
SRR2034335.715720-2/2	1.0	0.0
SRR2034335.717260-1/2	0.0	0.0
SRR2034335.717260-2/2	1.0	0.0
SRR2034335.721183-1/2	1.0	0.0
SRR2034335.721183-2/2	1.0	0.0
SRR2034335.723325-1/2	0.0	0.0
SRR2034335.723325-2/2	1.0	0.0
SRR2034335.724417-1/2	0.0	0.0
SRR2034335.724417-2/2	0.0	0.0
SRR2034335.735219-1/2	1.0	0.0
SRR2034335.735219-2/2	1.0	0.0
SRR2034335.743644-1/2	1.0	0.0
SRR2034335.743644-2/2	1.0	0.0
SRR2034335.749362-1/2	0.0	0.0
SRR2034335.749362-2/2	0.0	1.0
SRR2034335.750414-1/2	1.0	0.0
SRR2034335.750414-2/2	0.0	0.0
SRR2034335.753379-1/2	1.0	0.0
SRR2034335.753379-2/2	0.0	0.0
SRR2034335.759311-1/2	1.0	0.0
SRR2034335.759311-2/2	0.0	0.0
SRR2034335.763332-1/2	1.0	0.0
SRR2034335.763332-2/2	1.0	0.0
SRR2034335.764170-1/2	1.0	0.0
SRR2034335.764170-2/2	0.0	0.0
SRR2034335.767064-1/2	1.0	0.0
SRR2034335.767064-2/2	0.0	0.0
SRR2034335.767163-1/2	0.0	0.0
SRR2034335.767163-2/2	0.0	0.0
SRR2034335.770135-1/2	0.0	0.0
SRR2034335.770135-2/2	1.0	0.0
SRR2034335.777278-1/2	0.0	0.0
SRR2034335.777278-2/2	0.0	0.0
SRR2034335.788904-1/2	0.0	0.0
SRR2034335.788904-2/2	0.0	0.0
SRR2034335.79702-1/2	1.0	1.0
SRR2034335.79702-2/2	2.0	1.0
SRR2034335.797870-1/2	0.0	1.0
SRR2034335.797870-2/2	0.0	1.0
SRR2034335.802935-1/2	-1.0	2.0
SRR2034335.802935-2/2	-1.0	2.0
SRR2034335.805989-1/2	0.0	0.0
SRR2034335.805989-2/2	1.0	0.0
SRR2034335.806976-1/2	0.0	0.0
SRR2034335.806976-2/2	0.0	0.0
SRR2034335.808304-1/2	0.0	0.0
SRR2034335.808304-2/2	1.0	0.0
SRR2034335.81321-1/2	1.0	0.0
SRR2034335.81321-2/2	1.0	0.0
SRR2034335.813485-1/2	1.0	0.0
SRR2034335.813485-2/2	0.0	0.0
SRR2034335.822835-1/2	1.0	1.0
SRR2034335.822835-2/2	1.0	0.0
SRR2034335.83048-1/2	1.0	0.0
SRR2034335.83048-2/2	1.0	0.0
SRR2034335.840431-1/2	1.0	0.0
SRR2034335.840431-2/2	0.0	0.0
SRR2034335.842390-1/2	1.0	0.0
SRR2034335.842390-2/2	0.0	0.0
SRR2034335.844303-1/2	0.0	0.0
SRR2034335.844303-2/2	1.0	0.0
SRR2034335.848032-1/2	1.0	0.0
SRR2034335.848032-2/2	1.0	0.0
SRR2034335.855419-1/2	0.0	0.0
SRR2034335.855419-2/2	1.0	0.0
SRR2034335.877649-1/2	0.0	0.0
SRR2034335.877649-2/2	0.0	0.0
SRR2034335.881513-1/2	0.0	0.0
SRR2034335.881513-2/2	0.0	0.0
SRR2034335.883944-1/2	0.0	0.0
SRR2034335.883944-2/2	1.0	0.0
SRR2034335.885234-1/2	0.0	0.0
SRR2034335.885234-2/2	0.0	0.0
SRR2034335.888022-1/2	0.0	0.0
SRR2034335.888022-2/2	1.0	0.0
SRR2034335.89470-1/2	1.0	0.0
SRR2034335.89470-2/2	1.0	0.0
SRR2034335.95166-1/2	1.0	0.0
SRR2034335.95166-2/2	1.0	1.0
SRR2034335.95218-1/2	0.0	0.0
SRR2034335.95218-2/2	0.0	0.0
SRR2034335.97801-1/2	1.0	0.0
SRR2034335.97801-2/2	0.0	0.0
