,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
0,1,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_32,rplB_23,uvrA_99,New
1,2,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_32,rplB_23,uvrA_28,New
2,3,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_32,rplB_23,uvrA_29,New
3,4,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_32,rplB_24,uvrA_99,New
4,5,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_32,rplB_24,uvrA_28,New
5,6,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_32,rplB_24,uvrA_29,New
6,7,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_91,rplB_23,uvrA_99,New
7,8,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_91,rplB_23,uvrA_28,New
8,9,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_91,rplB_23,uvrA_29,New
9,10,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_91,rplB_24,uvrA_99,New
10,11,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_91,rplB_24,uvrA_28,New
11,12,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_91,rplB_24,uvrA_29,New
12,13,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_29,rplB_23,uvrA_99,New
13,14,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_29,rplB_23,uvrA_28,New
14,15,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_29,rplB_23,uvrA_29,New
15,16,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_29,rplB_24,uvrA_99,New
16,17,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_29,rplB_24,uvrA_28,New
17,18,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_96,recG_29,rplB_24,uvrA_29,New
18,19,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_32,rplB_23,uvrA_99,New
19,20,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_32,rplB_23,uvrA_28,Existing
20,21,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_32,rplB_23,uvrA_29,New
21,22,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_32,rplB_24,uvrA_99,New
22,23,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_32,rplB_24,uvrA_28,New
23,24,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_32,rplB_24,uvrA_29,New
24,25,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_91,rplB_23,uvrA_99,New
25,26,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_91,rplB_23,uvrA_28,New
26,27,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_91,rplB_23,uvrA_29,New
27,28,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_91,rplB_24,uvrA_99,New
28,29,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_91,rplB_24,uvrA_28,New
29,30,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_91,rplB_24,uvrA_29,New
30,31,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_29,rplB_23,uvrA_99,New
31,32,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_29,rplB_23,uvrA_28,New
32,33,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_29,rplB_23,uvrA_29,New
33,34,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_29,rplB_24,uvrA_99,New
34,35,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_29,rplB_24,uvrA_28,New
35,36,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_44,recG_29,rplB_24,uvrA_29,New
36,37,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_32,rplB_23,uvrA_99,New
37,38,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_32,rplB_23,uvrA_28,New
38,39,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_32,rplB_23,uvrA_29,New
39,40,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_32,rplB_24,uvrA_99,New
40,41,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_32,rplB_24,uvrA_28,New
41,42,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_32,rplB_24,uvrA_29,New
42,43,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_91,rplB_23,uvrA_99,New
43,44,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_91,rplB_23,uvrA_28,New
44,45,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_91,rplB_23,uvrA_29,New
45,46,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_91,rplB_24,uvrA_99,New
46,47,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_91,rplB_24,uvrA_28,New
47,48,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_91,rplB_24,uvrA_29,New
48,49,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_29,rplB_23,uvrA_99,New
49,50,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_29,rplB_23,uvrA_28,New
50,51,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_29,rplB_23,uvrA_29,New
51,52,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_29,rplB_24,uvrA_99,New
52,53,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_29,rplB_24,uvrA_28,New
53,54,clpA_35,clpX_24,nifS_23,pepX_49,pyrG_22,recG_29,rplB_24,uvrA_29,New
54,55,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_32,rplB_23,uvrA_99,New
55,56,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_32,rplB_23,uvrA_28,New
56,57,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_32,rplB_23,uvrA_29,New
57,58,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_32,rplB_24,uvrA_99,New
58,59,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_32,rplB_24,uvrA_28,New
59,60,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_32,rplB_24,uvrA_29,New
60,61,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_91,rplB_23,uvrA_99,New
61,62,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_91,rplB_23,uvrA_28,New
62,63,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_91,rplB_23,uvrA_29,New
63,64,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_91,rplB_24,uvrA_99,New
64,65,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_91,rplB_24,uvrA_28,New
65,66,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_91,rplB_24,uvrA_29,New
66,67,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_29,rplB_23,uvrA_99,New
67,68,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_29,rplB_23,uvrA_28,New
68,69,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_29,rplB_23,uvrA_29,New
69,70,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_29,rplB_24,uvrA_99,New
70,71,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_29,rplB_24,uvrA_28,New
71,72,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_96,recG_29,rplB_24,uvrA_29,New
72,73,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_32,rplB_23,uvrA_99,New
73,74,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_32,rplB_23,uvrA_28,New
74,75,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_32,rplB_23,uvrA_29,New
75,76,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_32,rplB_24,uvrA_99,New
76,77,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_32,rplB_24,uvrA_28,New
77,78,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_32,rplB_24,uvrA_29,New
78,79,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_91,rplB_23,uvrA_99,New
79,80,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_91,rplB_23,uvrA_28,New
80,81,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_91,rplB_23,uvrA_29,New
81,82,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_91,rplB_24,uvrA_99,New
82,83,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_91,rplB_24,uvrA_28,New
83,84,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_91,rplB_24,uvrA_29,New
84,85,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_29,rplB_23,uvrA_99,New
85,86,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_29,rplB_23,uvrA_28,New
86,87,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_29,rplB_23,uvrA_29,New
87,88,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_29,rplB_24,uvrA_99,New
88,89,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_29,rplB_24,uvrA_28,New
89,90,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_44,recG_29,rplB_24,uvrA_29,New
90,91,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_32,rplB_23,uvrA_99,New
91,92,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_32,rplB_23,uvrA_28,New
92,93,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_32,rplB_23,uvrA_29,New
93,94,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_32,rplB_24,uvrA_99,New
94,95,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_32,rplB_24,uvrA_28,New
95,96,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_32,rplB_24,uvrA_29,New
96,97,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_91,rplB_23,uvrA_99,New
97,98,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_91,rplB_23,uvrA_28,New
98,99,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_91,rplB_23,uvrA_29,New
99,100,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_91,rplB_24,uvrA_99,New
100,101,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_91,rplB_24,uvrA_28,New
101,102,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_91,rplB_24,uvrA_29,New
102,103,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_29,rplB_23,uvrA_99,New
103,104,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_29,rplB_23,uvrA_28,New
104,105,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_29,rplB_23,uvrA_29,New
105,106,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_29,rplB_24,uvrA_99,New
106,107,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_29,rplB_24,uvrA_28,New
107,108,clpA_35,clpX_24,nifS_23,pepX_85,pyrG_22,recG_29,rplB_24,uvrA_29,New
108,109,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_32,rplB_23,uvrA_99,New
109,110,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_32,rplB_23,uvrA_28,New
110,111,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_32,rplB_23,uvrA_29,New
111,112,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_32,rplB_24,uvrA_99,New
112,113,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_32,rplB_24,uvrA_28,New
113,114,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_32,rplB_24,uvrA_29,New
114,115,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_91,rplB_23,uvrA_99,New
115,116,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_91,rplB_23,uvrA_28,New
116,117,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_91,rplB_23,uvrA_29,New
117,118,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_91,rplB_24,uvrA_99,New
118,119,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_91,rplB_24,uvrA_28,New
119,120,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_91,rplB_24,uvrA_29,New
120,121,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_29,rplB_23,uvrA_99,New
121,122,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_29,rplB_23,uvrA_28,New
122,123,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_29,rplB_23,uvrA_29,New
123,124,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_29,rplB_24,uvrA_99,New
124,125,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_29,rplB_24,uvrA_28,New
125,126,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_96,recG_29,rplB_24,uvrA_29,New
126,127,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_32,rplB_23,uvrA_99,New
127,128,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_32,rplB_23,uvrA_28,New
128,129,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_32,rplB_23,uvrA_29,New
129,130,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_32,rplB_24,uvrA_99,New
130,131,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_32,rplB_24,uvrA_28,New
131,132,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_32,rplB_24,uvrA_29,New
132,133,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_91,rplB_23,uvrA_99,New
133,134,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_91,rplB_23,uvrA_28,New
134,135,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_91,rplB_23,uvrA_29,New
135,136,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_91,rplB_24,uvrA_99,New
136,137,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_91,rplB_24,uvrA_28,New
137,138,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_91,rplB_24,uvrA_29,New
138,139,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_29,rplB_23,uvrA_99,New
139,140,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_29,rplB_23,uvrA_28,New
140,141,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_29,rplB_23,uvrA_29,New
141,142,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_29,rplB_24,uvrA_99,New
142,143,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_29,rplB_24,uvrA_28,New
143,144,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_44,recG_29,rplB_24,uvrA_29,New
144,145,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_32,rplB_23,uvrA_99,New
145,146,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_32,rplB_23,uvrA_28,New
146,147,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_32,rplB_23,uvrA_29,New
147,148,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_32,rplB_24,uvrA_99,New
148,149,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_32,rplB_24,uvrA_28,New
149,150,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_32,rplB_24,uvrA_29,New
150,151,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_91,rplB_23,uvrA_99,New
151,152,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_91,rplB_23,uvrA_28,New
152,153,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_91,rplB_23,uvrA_29,New
153,154,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_91,rplB_24,uvrA_99,New
154,155,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_91,rplB_24,uvrA_28,New
155,156,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_91,rplB_24,uvrA_29,New
156,157,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_29,rplB_23,uvrA_99,New
157,158,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_29,rplB_23,uvrA_28,New
158,159,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_29,rplB_23,uvrA_29,New
159,160,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_29,rplB_24,uvrA_99,New
160,161,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_29,rplB_24,uvrA_28,New
161,162,clpA_35,clpX_24,nifS_23,pepX_31,pyrG_22,recG_29,rplB_24,uvrA_29,New
162,163,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_32,rplB_23,uvrA_99,New
163,164,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_32,rplB_23,uvrA_28,New
164,165,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_32,rplB_23,uvrA_29,New
165,166,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_32,rplB_24,uvrA_99,New
166,167,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_32,rplB_24,uvrA_28,New
167,168,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_32,rplB_24,uvrA_29,New
168,169,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_91,rplB_23,uvrA_99,New
169,170,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_91,rplB_23,uvrA_28,New
170,171,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_91,rplB_23,uvrA_29,New
171,172,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_91,rplB_24,uvrA_99,New
172,173,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_91,rplB_24,uvrA_28,New
173,174,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_91,rplB_24,uvrA_29,New
174,175,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_29,rplB_23,uvrA_99,New
175,176,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_29,rplB_23,uvrA_28,New
176,177,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_29,rplB_23,uvrA_29,New
177,178,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_29,rplB_24,uvrA_99,New
178,179,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_29,rplB_24,uvrA_28,New
179,180,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_96,recG_29,rplB_24,uvrA_29,New
180,181,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_32,rplB_23,uvrA_99,New
181,182,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_32,rplB_23,uvrA_28,New
182,183,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_32,rplB_23,uvrA_29,New
183,184,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_32,rplB_24,uvrA_99,New
184,185,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_32,rplB_24,uvrA_28,New
185,186,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_32,rplB_24,uvrA_29,New
186,187,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_91,rplB_23,uvrA_99,New
187,188,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_91,rplB_23,uvrA_28,New
188,189,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_91,rplB_23,uvrA_29,New
189,190,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_91,rplB_24,uvrA_99,New
190,191,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_91,rplB_24,uvrA_28,New
191,192,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_91,rplB_24,uvrA_29,New
192,193,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_29,rplB_23,uvrA_99,New
193,194,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_29,rplB_23,uvrA_28,New
194,195,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_29,rplB_23,uvrA_29,New
195,196,clpA_35,clpX_24,nifS_24,pepX_49,pyrG_44,recG_29,rplB_24,uvrA_99,New
